  # energy grid [eV]   photospectra spin_up [ab.]   photospectra spin_dw [ab.] 
   2.6544240401   0.0027649584   0.0087183466
   2.7045075125   0.0027945844   0.0089055454
   2.7545909850   0.0028247290   0.0090996416
   2.8046744574   0.0028554053   0.0093010088
   2.8547579299   0.0028866268   0.0095100479
   2.9048414023   0.0029184074   0.0097271893
   2.9549248748   0.0029507615   0.0099528958
   3.0050083472   0.0029837039   0.0101876653
   3.0550918197   0.0030172502   0.0104320348
   3.1051752922   0.0030514161   0.0106865836
   3.1552587646   0.0030862184   0.0109519379
   3.2053422371   0.0031216739   0.0112287753
   3.2554257095   0.0031578005   0.0115178306
   3.3055091820   0.0031946164   0.0118199011
   3.3555926544   0.0032321407   0.0121358540
   3.4056761269   0.0032703931   0.0124666335
   3.4557595993   0.0033093940   0.0128132700
   3.5058430718   0.0033491646   0.0131768894
   3.5559265442   0.0033897270   0.0135587244
   3.6060100167   0.0034311038   0.0139601274
   3.6560934891   0.0034733190   0.0143825849
   3.7061769616   0.0035163970   0.0148277341
   3.7562604341   0.0035603636   0.0152973821
   3.8063439065   0.0036052453   0.0157935280
   3.8564273790   0.0036510699   0.0163183885
   3.9065108514   0.0036978660   0.0168744271
   3.9565943239   0.0037456638   0.0174643891
   4.0066777963   0.0037944945   0.0180913416
   4.0567612688   0.0038443905   0.0187587200
   4.1068447412   0.0038953857   0.0194703843
   4.1569282137   0.0039475155   0.0202306837
   4.2070116861   0.0040008168   0.0210445341
   4.2570951586   0.0040553279   0.0219175099
   4.3071786311   0.0041110891   0.0228559542
   4.3572621035   0.0041681423   0.0238671100
   4.4073455760   0.0042265313   0.0249592790
   4.4574290484   0.0042863018   0.0261420136
   4.5075125209   0.0043475018   0.0274263503
   4.5575959933   0.0044101815   0.0288250951
   4.6076794658   0.0044743932   0.0303531741
   4.6577629382   0.0045401921   0.0320280665
   4.7078464107   0.0046076357   0.0338703427
   4.7579298831   0.0046767844   0.0359043361
   4.8080133556   0.0047477017   0.0381589871
   4.8580968280   0.0048204542   0.0406689101
   4.9081803005   0.0048951118   0.0434757485
   4.9582637730   0.0049717480   0.0466299076
   5.0083472454   0.0050504401   0.0501927804
   5.0584307179   0.0051312695   0.0542396216
   5.1085141903   0.0052143219   0.0588632728
   5.1585976628   0.0052996875   0.0641790014
   5.2086811352   0.0053874618   0.0703307883
   5.2587646077   0.0054777450   0.0774994651
   5.3088480801   0.0055706433   0.0859131377
   5.3589315526   0.0056662689   0.0958602556
   5.4090150250   0.0057647404   0.1077053142
   5.4590984975   0.0058661832   0.1219061070
   5.5091819699   0.0059707303   0.1390288488
   5.5592654424   0.0060785225   0.1597516909
   5.6093489149   0.0061897094   0.1848352215
   5.6594323873   0.0063044498   0.2150163776
   5.7095158598   0.0064229122   0.2507482063
   5.7595993322   0.0065452760   0.2916782576
   5.8096828047   0.0066717324   0.3358059382
   5.8597662771   0.0068024849   0.3785524078
   5.9098497496   0.0069377505   0.4126300480
   5.9599332220   0.0070777610   0.4300284649
   6.0100166945   0.0072227643   0.4260621272
   6.0601001669   0.0073730255   0.4024171704
   6.1101836394   0.0075288284   0.3660173504
   6.1602671119   0.0076904775   0.3249540198
   6.2103505843   0.0078582997   0.2852789122
   6.2604340568   0.0080326463   0.2502187843
   6.3105175292   0.0082138951   0.2208659360
   6.3606010017   0.0084024536   0.1971284885
   6.4106844741   0.0085987611   0.1784163940
   6.4607679466   0.0088032922   0.1640203560
   6.5108514190   0.0090165603   0.1532851841
   6.5609348915   0.0092391217   0.1456732359
   6.6110183639   0.0094715797   0.1407774979
   6.6611018364   0.0097145900   0.1383155233
   6.7111853088   0.0099688660   0.1381190036
   6.7612687813   0.0102351854   0.1401254443
   6.8113522538   0.0105143971   0.1443745877
   6.8614357262   0.0108074299   0.1510105782
   6.9115191987   0.0111153011   0.1602901088
   6.9616026711   0.0114391277   0.1725960841
   7.0116861436   0.0117801380   0.1884548789
   7.0617696160   0.0121396857   0.2085518202
   7.1118530885   0.0125192658   0.2337318075
   7.1619365609   0.0129205329   0.2649561421
   7.2120200334   0.0133453220   0.3031574990
   7.2621035058   0.0137956736   0.3488913942
   7.3121869783   0.0142738615   0.4016480379
   7.3622704508   0.0147824263   0.4587605582
   7.4123539232   0.0153242142   0.5142327970
   7.4624373957   0.0159024223   0.5586151634
   7.5125208681   0.0165206521   0.5815132536
   7.5626043406   0.0171829731   0.5766159778
   7.6126878130   0.0178939975   0.5456157686
   7.6627712855   0.0186589699   0.4971237285
   7.7128547579   0.0194838743   0.4417032440
   7.7629382304   0.0203755624   0.3875763070
   7.8130217028   0.0213419092   0.3393119695
   7.8631051753   0.0223920004   0.2985740607
   7.9131886477   0.0235363620   0.2653537924
   7.9632721202   0.0247872409   0.2389101405
   8.0133555927   0.0261589498   0.2183066688
   8.0634390651   0.0276682947   0.2026641850
   8.1135225376   0.0293351066   0.1912572226
   8.1636060100   0.0311829062   0.1835373535
   8.2136894825   0.0332397415   0.1791275259
   8.2637729549   0.0355392470   0.1778079485
   8.3138564274   0.0381219916   0.1795009900
   8.3639398998   0.0410372051   0.1842545755
   8.4140233723   0.0443449974   0.1922163461
   8.4641068447   0.0481192263   0.2035810763
   8.5141903172   0.0524512142   0.2184801202
   8.5642737896   0.0574545715   0.2367702328
   8.6143572621   0.0632714451   0.2576992478
   8.6644407346   0.0700805577   0.2795449107
   8.7145242070   0.0781073958   0.2995834674
   8.7646076795   0.0876367265   0.3149061493
   8.8146911519   0.0990270498   0.3240377816
   8.8647746244   0.1127251127   0.3281248033
   8.9148580968   0.1292752198   0.3304649658
   8.9649415693   0.1493109601   0.3349192591
   9.0150250417   0.1735034608   0.3446977176
   9.0651085142   0.2024187355   0.3620845120
   9.1151919866   0.2362146157   0.3886837624
   9.1652754591   0.2741229867   0.4256519025
   9.2153589316   0.3138054844   0.4736099637
   9.2654424040   0.3510065474   0.5320721140
   9.3155258765   0.3801800919   0.5983403317
   9.3656093489   0.3962164180   0.6661861891
   9.4156928214   0.3962188038   0.7254392163
   9.4657762938   0.3803095575   0.7641289136
   9.5158597663   0.3515698901   0.7733801986
   9.5659432387   0.3151575378   0.7520642897
   9.6160267112   0.2765481683   0.7073919276
   9.6661101836   0.2398849119   0.6510833308
   9.7161936561   0.2074134952   0.5943588295
   9.7662771285   0.1798484658   0.5450098317
   9.8163606010   0.1570105284   0.5071712218
   9.8664440735   0.1383315198   0.4824847792
   9.9165275459   0.1231477569   0.4713594480
   9.9666110184   0.1108371573   0.4737926009
  10.0166944908   0.1008683724   0.4896938582
  10.0667779633   0.0928080714   0.5187548213
  10.1168614357   0.0863114417   0.5598621323
  10.1669449082   0.0811078548   0.6100866301
  10.2170283806   0.0769867585   0.6636258319
  10.2671118531   0.0737855868   0.7117400688
  10.3171953255   0.0713800583   0.7448143683
  10.3672787980   0.0696766887   0.7558243329
  10.4173622705   0.0686071799   0.7423151757
  10.4674457429   0.0681243548   0.7057976145
  10.5175292154   0.0681993606   0.6507906692
  10.5676126878   0.0688199378   0.5843315646
  10.6176961603   0.0699896256   0.5144194168
  10.6677796327   0.0717278418   0.4476575984
  10.7178631052   0.0740708406   0.3879401843
  10.7679465776   0.0770736164   0.3366717685
  10.8180300501   0.0808128893   0.2936785277
  10.8681135225   0.0853913704   0.2580474718
  10.9181969950   0.0909435695   0.2286522087
  10.9682804674   0.0976434240   0.2044125152
  11.0183639399   0.1057139558   0.1843941092
  11.0684474124   0.1154388285   0.1678291844
  11.1185308848   0.1271747666   0.1541037856
  11.1686143573   0.1413616288   0.1427347200
  11.2186978297   0.1585222037   0.1333459238
  11.2687813022   0.1792343972   0.1256479934
  11.3188647746   0.2040420463   0.1194218350
  11.3689482471   0.2332488700   0.1145063055
  11.4190317195   0.2665333600   0.1107893862
  11.4691151920   0.3023981275   0.1082024243
  11.5191986644   0.3377380412   0.1067170891
  11.5692821369   0.3682306450   0.1063448321
  11.6193656093   0.3901636248   0.1071387801
  11.6694490818   0.4028810361   0.1091980651
  11.7195325543   0.4095410010   0.1126745568
  11.7696160267   0.4151709164   0.1177816271
  11.8196994992   0.4237314024   0.1248036145
