  # energy grid [eV]   photospectra spin_up [ab.]   photospectra spin_dw [ab.] 
  11.0183639399   0.1843941123   0.1843941092
  11.0684474124   0.1678291869   0.1678291844
  11.1185308848   0.1541037877   0.1541037856
  11.1686143573   0.1427347217   0.1427347200
  11.2186978297   0.1333459252   0.1333459238
  11.2687813022   0.1256479945   0.1256479934
  11.3188647746   0.1194218359   0.1194218350
  11.3689482471   0.1145063063   0.1145063055
  11.4190317195   0.1107893867   0.1107893862
  11.4691151920   0.1082024247   0.1082024243
  11.5191986644   0.1067170893   0.1067170891
  11.5692821369   0.1063448322   0.1063448321
  11.6193656093   0.1071387800   0.1071387801
  11.6694490818   0.1091980649   0.1091980651
  11.7195325543   0.1126745564   0.1126745568
  11.7696160267   0.1177816265   0.1177816271
  11.8196994992   0.1248036136   0.1248036145
  11.8697829716   0.1341023323   0.1341023335
  11.9198664441   0.1461119307   0.1461119323
  11.9699499165   0.1613033600   0.1613033620
  12.0200333890   0.1800821683   0.1800821707
  12.0701168614   0.2025600225   0.2025600253
  12.1202003339   0.2281326790   0.2281326820
  12.1702838063   0.2548765878   0.2548765907
  12.2203672788   0.2790642511   0.2790642531
  12.2704507513   0.2955514783   0.2955514787
  12.3205342237   0.2997168666   0.2997168650
  12.3706176962   0.2901282279   0.2901282245
  12.4207011686   0.2695101800   0.2695101754
  12.4707846411   0.2429541098   0.2429541049
  12.5208681135   0.2152654907   0.2152654860
  12.5709515860   0.1895509428   0.1895509386
  12.6210350584   0.1672221439   0.1672221404
  12.6711185309   0.1485812332   0.1485812303
  12.7212020033   0.1333777313   0.1333777290
  12.7712854758   0.1211608517   0.1211608499
  12.8213689482   0.1114582237   0.1114582222
  12.8714524207   0.1038504937   0.1038504926
  12.9215358932   0.0979936805   0.0979936797
  12.9716193656   0.0936188459   0.0936188453
  13.0217028381   0.0905237657   0.0905237653
  13.0717863105   0.0885631978   0.0885631976
  13.1218697830   0.0876404029   0.0876404029
  13.1719532554   0.0877008128   0.0877008130
  13.2220367279   0.0887280375   0.0887280378
  13.2721202003   0.0907421850   0.0907421855
  13.3222036728   0.0938004729   0.0938004736
  13.3722871452   0.0980002050   0.0980002059
  13.4223706177   0.1034843257   0.1034843269
  13.4724540902   0.1104499046   0.1104499062
  13.5225375626   0.1191600097   0.1191600116
  13.5726210351   0.1299594122   0.1299594145
  13.6227045075   0.1432942236   0.1432942265
  13.6727879800   0.1597344615   0.1597344651
  13.7228714524   0.1799957219   0.1799957263
  13.7729549249   0.2049497212   0.2049497267
  13.8230383973   0.2355999831   0.2355999898
  13.8731218698   0.2729731748   0.2729731829
  13.9232053422   0.3178347130   0.3178347225
  13.9732888147   0.3700918492   0.3700918599
  14.0233722871   0.4277700032   0.4277700144
  14.0734557596   0.4857277808   0.4857277908
  14.1235392321   0.5350211517   0.5350211584
  14.1736227045   0.5646124290   0.5646124303
  14.2237061770   0.5661649153   0.5661649104
  14.2737896494   0.5390508308   0.5390508208
  14.3238731219   0.4907780608   0.4907780479
  14.3739565943   0.4323642559   0.4323642424
  14.4240400668   0.3732230620   0.3732230494
  14.4741235392   0.3190059811   0.3190059700
  14.5242070117   0.2720318089   0.2720317995
  14.5742904841   0.2325661918   0.2325661840
  14.6243739566   0.1999045382   0.1999045318
  14.6744574290   0.1730224548   0.1730224495
  14.7245409015   0.1508929138   0.1508929094
  14.7746243740   0.1326114665   0.1326114629
  14.8247078464   0.1174276662   0.1174276632
  14.8747913189   0.1047368482   0.1047368456
  14.9248747913   0.0940585474   0.0940585452
  14.9749582638   0.0850130275   0.0850130257
  15.0250417362   0.0773002779   0.0773002763
  15.0751252087   0.0706826672   0.0706826658
  15.1252086811   0.0649711646   0.0649711634
  15.1752921536   0.0600146064   0.0600146053
  15.2253756260   0.0556914118   0.0556914109
  15.2754590985   0.0519032117   0.0519032109
  15.3255425710   0.0485699451   0.0485699444
  15.3756260434   0.0456260780   0.0456260774
  15.4257095159   0.0430176755   0.0430176750
  15.4757929883   0.0407001247   0.0407001242
  15.5258764608   0.0386363551   0.0386363546
  15.5759599332   0.0367954409   0.0367954405
  15.6260434057   0.0351514981   0.0351514978
  15.6761268781   0.0336828098   0.0336828095
  15.7262103506   0.0323711305   0.0323711302
  15.7762938230   0.0312011314   0.0312011311
  15.8263772955   0.0301599563   0.0301599561
  15.8764607679   0.0292368683   0.0292368681
  15.9265442404   0.0284229676   0.0284229674
  15.9766277129   0.0277109696   0.0277109695
  16.0267111853   0.0270950327   0.0270950326
  16.0767946578   0.0265706281   0.0265706280
  16.1268781302   0.0261344475   0.0261344475
  16.1769616027   0.0257843444   0.0257843443
  16.2270450751   0.0255193067   0.0255193067
  16.2771285476   0.0253394620   0.0253394620
  16.3272120200   0.0252461139   0.0252461139
  16.3772954925   0.0252418145   0.0252418145
  16.4273789649   0.0253304753   0.0253304753
  16.4774624374   0.0255175238   0.0255175238
  16.5275459098   0.0258101151   0.0258101151
  16.5776293823   0.0262174094   0.0262174095
  16.6277128548   0.0267509331   0.0267509333
  16.6777963272   0.0274250448   0.0274250450
