  0.00000000E+00 -0.38793121E+01
  0.11116747E-01 -0.38788787E+01
  0.22233494E-01 -0.38775786E+01
  0.33350240E-01 -0.38754131E+01
  0.44466987E-01 -0.38723838E+01
  0.55583734E-01 -0.38684933E+01
  0.66700481E-01 -0.38637448E+01
  0.77817228E-01 -0.38581421E+01
  0.88933975E-01 -0.38516897E+01
  0.10005072E+00 -0.38443928E+01
  0.11116747E+00 -0.38362574E+01
  0.12228422E+00 -0.38272898E+01
  0.13340096E+00 -0.38174970E+01
  0.14451771E+00 -0.38068868E+01
  0.15563446E+00 -0.37954673E+01
  0.16675120E+00 -0.37832473E+01
  0.17786795E+00 -0.37702359E+01
  0.18898470E+00 -0.37564428E+01
  0.20010144E+00 -0.37418781E+01
  0.21121819E+00 -0.37265523E+01
  0.22233494E+00 -0.37104763E+01
  0.23345168E+00 -0.36936614E+01
  0.24456843E+00 -0.36761189E+01
  0.25568518E+00 -0.36578608E+01
  0.26680192E+00 -0.36388988E+01
  0.27791867E+00 -0.36192452E+01
  0.28903542E+00 -0.35989123E+01
  0.30015216E+00 -0.35779125E+01
  0.31126891E+00 -0.35562582E+01
  0.32238566E+00 -0.35339618E+01
  0.33350240E+00 -0.35110358E+01
  0.34461915E+00 -0.34874926E+01
  0.35573590E+00 -0.34633444E+01
  0.36685265E+00 -0.34386033E+01
  0.37796939E+00 -0.34132814E+01
  0.38908614E+00 -0.33873902E+01
  0.40020289E+00 -0.33609414E+01
  0.41131963E+00 -0.33339460E+01
  0.42243638E+00 -0.33064150E+01
  0.43355313E+00 -0.32783587E+01
  0.44466987E+00 -0.32497874E+01
  0.45578662E+00 -0.32207107E+01
  0.46690337E+00 -0.31911380E+01
  0.47802011E+00 -0.31610779E+01
  0.48913686E+00 -0.31305388E+01
  0.50025361E+00 -0.30995287E+01
  0.51137035E+00 -0.30680547E+01
  0.52248710E+00 -0.30361237E+01
  0.53360385E+00 -0.30037420E+01
  0.54472059E+00 -0.29709153E+01
  0.55583734E+00 -0.29376490E+01
